Call_ID,Fecha,Agente_ID,Centro_Costo,Canal,Tiempo_Espera_Seg,Tiempo_Atencion_Seg,Tiempo_Total_Seg,Abandonada,Resuelta_Primer_Contacto
C00022,2025-01-15 01:00:00,A008,Tarjetas,Outbound,34,372,406,0,0
C00023,2025-02-06 14:00:00,A011,Tarjetas,Inbound,14,307,321,0,0
C00024,2025-02-14 20:00:00,A008,Tarjetas,Inbound,10,313,323,0,0
C00025,2025-02-02 23:00:00,A022,Banca_Personal,Inbound,7,313,320,0,1
C00026,2025-02-01 19:00:00,A010,Créditos,Inbound,40,245,285,0,1
C00027,2025-01-16 19:00:00,A023,Créditos,Outbound,25,247,272,0,1
C00028,2025-01-21 12:00:00,A001,Soporte_Digital,Outbound,8,313,321,0,0
C00029,2025-02-19 04:00:00,A012,Tarjetas,Inbound,9,285,294,0,1
C00030,2025-03-27 22:00:00,A009,Banca_Personal,Inbound,23,342,365,0,0
C00031,2025-01-03 16:00:00,A005,Tarjetas,Inbound,8,278,286,0,1
C00032,2025-02-26 23:00:00,A009,Tarjetas,Inbound,25,211,236,0,1
C00033,2025-02-18 00:00:00,A016,Créditos,Outbound,45,214,259,0,0
C00034,2025-03-26 11:00:00,A018,Soporte_Digital,Inbound,51,254,305,0,1
C00035,2025-03-04 07:00:00,A008,Banca_Personal,Inbound,40,343,383,0,0
C00036,2025-02-18 10:00:00,A023,Créditos,Inbound,63,268,331,1,0
C00037,2025-03-05 10:00:00,A011,Tarjetas,Inbound,26,317,343,0,0
C00038,2025-01-17 07:00:00,A020,Créditos,Outbound,85,199,284,0,1
C00039,2025-03-12 18:00:00,A019,Tarjetas,Inbound,74,309,383,0,1
C00040,2025-01-18 10:00:00,A004,Banca_Personal,Inbound,27,302,329,0,0
C00041,2025-01-16 18:00:00,A020,Créditos,Inbound,16,371,387,1,0
C00042,2025-03-16 20:00:00,A010,Créditos,Outbound,18,309,327,0,0
C00043,2025-03-29 00:00:00,A024,Créditos,Outbound,4,345,349,0,1
C00044,2025-01-09 08:00:00,A013,Créditos,Inbound,17,416,433,0,1
C00045,2025-03-19 15:00:00,A020,Créditos,Inbound,6,302,308,0,1
C00046,2025-02-02 11:00:00,A014,Banca_Personal,Inbound,43,392,435,0,1
C00047,2025-01-21 22:00:00,A021,Soporte_Digital,Outbound,5,307,312,0,1
C00048,2025-03-14 23:00:00,A002,Banca_Personal,Outbound,33,267,300,0,1
C00049,2025-02-03 12:00:00,A004,Créditos,Inbound,16,293,309,0,0
C00050,2025-03-20 23:00:00,A007,Tarjetas,Inbound,42,269,311,0,1
C00051,2025-03-07 10:00:00,A019,Tarjetas,Outbound,18,271,289,0,1
C00052,2025-02-10 00:00:00,A017,Créditos,Inbound,34,265,299,0,1
C00053,2025-03-03 21:00:00,A016,Soporte_Digital,Inbound,32,281,313,0,1
C00054,2025-02-12 20:00:00,A013,Créditos,Inbound,16,342,358,0,1
C00055,2025-01-21 22:00:00,A024,Banca_Personal,Outbound,28,197,225,0,1
C00056,2025-01-17 13:00:00,A024,Soporte_Digital,Inbound,35,317,352,0,0
C00057,2025-02-06 06:00:00,A022,Soporte_Digital,Outbound,43,307,350,0,0
C00058,2025-01-17 08:00:00,A023,Banca_Personal,Inbound,3,383,386,0,1
C00059,2025-01-09 14:00:00,A018,Soporte_Digital,Inbound,6,278,284,0,1
C00060,2025-02-13 06:00:00,A021,Créditos,Inbound,37,367,404,0,0
C00061,2025-03-20 09:00:00,A012,Créditos,Outbound,16,248,264,0,0
C00062,2025-03-03 20:00:00,A023,Tarjetas,Inbound,24,272,296,0,1
C00063,2025-02-05 23:00:00,A025,Banca_Personal,Inbound,3,324,327,0,1
C00064,2025-01-24 11:00:00,A001,Soporte_Digital,Outbound,85,336,421,1,0
C00065,2025-02-12 12:00:00,A015,Soporte_Digital,Inbound,9,284,293,0,1
C00066,2025-01-04 23:00:00,A003,Soporte_Digital,Outbound,29,313,342,0,0
C00067,2025-03-22 03:00:00,A006,Créditos,Inbound,11,290,301,0,1
C00068,2025-03-15 05:00:00,A014,Banca_Personal,Inbound,52,347,399,0,1
C00069,2025-03-11 22:00:00,A023,Créditos,Inbound,43,291,334,0,0
C00070,2025-01-23 12:00:00,A006,Soporte_Digital,Outbound,47,286,333,0,1
C00071,2025-02-14 03:00:00,A001,Créditos,Inbound,33,359,392,0,1
C00072,2025-02-19 07:00:00,A020,Soporte_Digital,Outbound,40,312,352,0,1
C00073,2025-03-13 18:00:00,A006,Soporte_Digital,Inbound,15,340,355,0,1
C00074,2025-03-17 19:00:00,A008,Créditos,Inbound,55,449,504,1,0
C00075,2025-03-08 13:00:00,A015,Soporte_Digital,Inbound,21,180,201,0,1
C00076,2025-02-03 03:00:00,A014,Créditos,Outbound,10,238,248,0,1
C00077,2025-02-13 19:00:00,A016,Tarjetas,Inbound,21,244,265,0,1
C00078,2025-03-10 11:00:00,A020,Créditos,Inbound,17,248,265,0,1
C00079,2025-02-26 19:00:00,A023,Tarjetas,Outbound,22,385,407,0,1
C00080,2025-03-24 13:00:00,A016,Tarjetas,Inbound,10,139,149,0,1
C00081,2025-02-26 10:00:00,A019,Créditos,Inbound,41,328,369,1,1
C00082,2025-03-11 07:00:00,A024,Banca_Personal,Inbound,12,208,220,0,1
C00083,2025-03-05 17:00:00,A001,Banca_Personal,Inbound,28,301,329,0,1
C00084,2025-03-26 22:00:00,A004,Créditos,Inbound,32,315,347,0,1
C00085,2025-03-04 08:00:00,A024,Créditos,Outbound,31,354,385,0,1
C00086,2025-02-28 16:00:00,A010,Soporte_Digital,Inbound,33,284,317,0,1
C00087,2025-02-28 08:00:00,A020,Soporte_Digital,Inbound,9,289,298,0,1
C00088,2025-02-24 10:00:00,A018,Créditos,Outbound,37,177,214,0,0
C00089,2025-02-10 12:00:00,A002,Banca_Personal,Inbound,8,436,444,0,1
C00090,2025-03-15 16:00:00,A004,Soporte_Digital,Outbound,5,318,323,0,0
C00091,2025-02-23 10:00:00,A015,Soporte_Digital,Inbound,24,326,350,0,1
C00092,2025-01-30 13:00:00,A004,Banca_Personal,Inbound,16,364,380,0,1
C00093,2025-03-03 15:00:00,A016,Créditos,Inbound,35,295,330,0,1
C00094,2025-03-01 18:00:00,A015,Banca_Personal,Inbound,55,325,380,0,1
C00095,2025-01-28 00:00:00,A018,Tarjetas,Inbound,37,342,379,0,1
C00096,2025-01-14 05:00:00,A007,Soporte_Digital,Inbound,10,211,221,0,1
C00097,2025-02-22 09:00:00,A015,Soporte_Digital,Inbound,11,331,342,0,1
C00098,2025-01-29 11:00:00,A022,Soporte_Digital,Inbound,11,424,435,0,0
C00099,2025-01-28 15:00:00,A011,Banca_Personal,Inbound,38,404,442,0,1
C00100,2025-03-25 06:00:00,A019,Banca_Personal,Inbound,22,391,413,0,1
C00101,2025-03-09 23:00:00,A008,Créditos,Inbound,30,414,444,0,0
C00102,2025-03-04 07:00:00,A024,Soporte_Digital,Inbound,8,224,232,0,1
C00103,2025-02-17 08:00:00,A001,Tarjetas,Inbound,29,268,297,0,1
C00104,2025-03-19 05:00:00,A003,Créditos,Inbound,16,245,261,0,1
C00105,2025-03-05 08:00:00,A005,Banca_Personal,Inbound,67,509,576,0,1
C00106,2025-01-24 11:00:00,A018,Tarjetas,Inbound,8,314,322,0,1
C00107,2025-02-23 19:00:00,A012,Créditos,Inbound,6,215,221,0,0
C00108,2025-03-10 04:00:00,A012,Banca_Personal,Inbound,19,233,252,0,1
C00109,2025-01-30 02:00:00,A021,Tarjetas,Outbound,18,306,324,0,1
C00110,2025-01-01 01:00:00,A019,Créditos,Inbound,53,218,271,0,1
C00111,2025-01-27 17:00:00,A009,Tarjetas,Inbound,15,412,427,0,0
C00112,2025-03-08 05:00:00,A011,Banca_Personal,Inbound,82,347,429,0,1
C00113,2025-02-05 14:00:00,A017,Créditos,Outbound,21,318,339,0,1
C00114,2025-03-15 07:00:00,A016,Banca_Personal,Inbound,11,236,247,0,0
C00115,2025-03-11 05:00:00,A004,Soporte_Digital,Inbound,16,220,236,0,1
C00116,2025-02-18 01:00:00,A010,Soporte_Digital,Inbound,36,320,356,0,1
C00117,2025-02-14 20:00:00,A022,Tarjetas,Outbound,32,308,340,0,1
C00118,2025-03-13 03:00:00,A015,Soporte_Digital,Inbound,62,222,284,0,0
C00119,2025-03-12 15:00:00,A025,Banca_Personal,Inbound,6,296,302,0,1
C00120,2025-03-14 05:00:00,A019,Tarjetas,Inbound,16,296,312,0,0
C00121,2025-03-01 23:00:00,A003,Créditos,Inbound,109,344,453,1,0
C00122,2025-02-04 19:00:00,A021,Banca_Personal,Inbound,12,426,438,0,1
C00123,2025-01-09 10:00:00,A023,Créditos,Inbound,48,175,223,0,1
C00124,2025-01-06 02:00:00,A005,Créditos,Outbound,2,348,350,0,1
C00125,2025-01-17 16:00:00,A011,Créditos,Inbound,12,258,270,0,0
C00126,2025-02-01 22:00:00,A024,Créditos,Outbound,32,325,357,0,0
C00127,2025-01-13 05:00:00,A005,Banca_Personal,Inbound,32,307,339,0,1
C00128,2025-01-09 05:00:00,A007,Soporte_Digital,Outbound,29,330,359,0,1
C00129,2025-03-22 10:00:00,A006,Banca_Personal,Outbound,31,225,256,0,0
C00130,2025-01-26 08:00:00,A013,Soporte_Digital,Inbound,48,358,406,0,1
C00131,2025-02-17 19:00:00,A002,Créditos,Inbound,22,302,324,0,1
C00132,2025-01-08 18:00:00,A019,Soporte_Digital,Inbound,61,383,444,1,0
C00133,2025-03-16 18:00:00,A011,Créditos,Inbound,24,395,419,0,1
C00134,2025-01-28 11:00:00,A020,Tarjetas,Inbound,22,314,336,0,1
C00135,2025-03-23 11:00:00,A005,Créditos,Outbound,4,359,363,0,0
C00136,2025-02-27 01:00:00,A009,Soporte_Digital,Inbound,53,354,407,0,0
C00137,2025-03-24 18:00:00,A006,Tarjetas,Inbound,5,380,385,0,1
C00138,2025-03-05 22:00:00,A017,Tarjetas,Inbound,44,375,419,0,0
C00139,2025-01-07 02:00:00,A019,Créditos,Inbound,36,230,266,0,1
C00140,2025-03-14 06:00:00,A023,Banca_Personal,Inbound,59,316,375,0,1
C00141,2025-03-18 19:00:00,A008,Soporte_Digital,Outbound,4,216,220,0,0
C00142,2025-01-21 08:00:00,A007,Tarjetas,Inbound,69,268,337,1,1
C00143,2025-03-23 15:00:00,A005,Banca_Personal,Outbound,16,271,287,0,1
C00144,2025-03-11 07:00:00,A015,Créditos,Inbound,13,335,348,0,0
C00145,2025-01-27 16:00:00,A010,Créditos,Inbound,8,286,294,0,0
C00146,2025-03-17 02:00:00,A024,Créditos,Inbound,20,290,310,0,1
C00147,2025-03-24 01:00:00,A016,Créditos,Inbound,28,359,387,0,0
C00148,2025-03-01 22:00:00,A009,Soporte_Digital,Inbound,33,352,385,0,0
C00149,2025-03-10 02:00:00,A007,Tarjetas,Inbound,15,316,331,1,1
C00150,2025-01-11 22:00:00,A011,Soporte_Digital,Outbound,13,344,357,0,0
C00151,2025-03-16 11:00:00,A009,Tarjetas,Inbound,73,338,411,1,1
C00152,2025-01-26 23:00:00,A017,Banca_Personal,Inbound,28,417,445,0,0
C00153,2025-02-12 08:00:00,A009,Banca_Personal,Inbound,34,287,321,0,1
C00154,2025-02-06 16:00:00,A003,Tarjetas,Inbound,44,254,298,0,0
C00155,2025-03-27 09:00:00,A022,Créditos,Inbound,31,312,343,0,1
C00156,2025-02-25 07:00:00,A008,Banca_Personal,Inbound,14,242,256,0,1
C00157,2025-01-19 20:00:00,A019,Soporte_Digital,Outbound,8,277,285,0,1
C00158,2025-02-19 07:00:00,A020,Tarjetas,Inbound,38,327,365,0,0
C00159,2025-03-27 16:00:00,A016,Banca_Personal,Inbound,35,269,304,0,0
C00160,2025-03-12 02:00:00,A007,Tarjetas,Inbound,32,286,318,0,1
C00161,2025-02-18 02:00:00,A007,Créditos,Inbound,24,283,307,0,1
C00162,2025-01-17 19:00:00,A020,Tarjetas,Inbound,23,274,297,0,1
C00163,2025-03-29 13:00:00,A025,Banca_Personal,Outbound,9,234,243,0,1
C00164,2025-03-12 16:00:00,A013,Tarjetas,Inbound,3,360,363,0,1
C00165,2025-01-27 03:00:00,A003,Banca_Personal,Inbound,46,382,428,0,1
C00166,2025-01-25 10:00:00,A012,Banca_Personal,Outbound,65,357,422,1,1
C00167,2025-03-10 16:00:00,A024,Banca_Personal,Inbound,35,356,391,0,1
C00168,2025-03-02 03:00:00,A008,Soporte_Digital,Inbound,7,275,282,1,1
C00169,2025-03-02 05:00:00,A013,Créditos,Inbound,24,310,334,0,1
C00170,2025-01-05 07:00:00,A020,Créditos,Outbound,11,253,264,0,0
C00171,2025-01-11 13:00:00,A016,Tarjetas,Inbound,18,291,309,0,1
C00172,2025-03-04 08:00:00,A007,Tarjetas,Inbound,9,297,306,0,1
C00173,2025-01-05 02:00:00,A004,Banca_Personal,Inbound,26,216,242,0,1
C00174,2025-03-20 12:00:00,A012,Créditos,Inbound,42,307,349,0,0
C00175,2025-03-21 23:00:00,A017,Tarjetas,Inbound,32,268,300,0,1
C00176,2025-02-06 13:00:00,A001,Tarjetas,Inbound,16,315,331,0,0
C00177,2025-01-15 01:00:00,A017,Créditos,Inbound,28,285,313,0,1
C00178,2025-02-09 20:00:00,A002,Banca_Personal,Outbound,5,320,325,0,0
C00179,2025-03-13 00:00:00,A006,Tarjetas,Inbound,41,341,382,0,0
C00180,2025-01-07 16:00:00,A012,Banca_Personal,Inbound,36,224,260,0,1
C00181,2025-03-08 19:00:00,A011,Créditos,Inbound,31,280,311,1,1
C00182,2025-01-17 13:00:00,A021,Créditos,Inbound,54,261,315,0,0
C00183,2025-02-24 04:00:00,A011,Tarjetas,Inbound,30,370,400,1,1
C00184,2025-02-03 23:00:00,A018,Tarjetas,Inbound,18,401,419,0,0
C00185,2025-03-05 15:00:00,A008,Créditos,Inbound,17,302,319,0,0
C00186,2025-03-21 23:00:00,A025,Banca_Personal,Inbound,18,324,342,0,0
C00187,2025-02-28 23:00:00,A007,Banca_Personal,Outbound,31,211,242,0,0
C00188,2025-02-18 06:00:00,A014,Soporte_Digital,Outbound,11,318,329,0,1
C00189,2025-02-20 18:00:00,A016,Créditos,Inbound,13,284,297,0,1
C00190,2025-01-17 16:00:00,A012,Tarjetas,Inbound,8,381,389,0,1
C00191,2025-01-27 15:00:00,A009,Créditos,Inbound,10,286,296,0,1
C00192,2025-01-20 03:00:00,A020,Tarjetas,Inbound,21,250,271,0,1
C00193,2025-02-09 18:00:00,A023,Banca_Personal,Inbound,71,219,290,0,1
C00194,2025-01-20 13:00:00,A021,Tarjetas,Inbound,8,310,318,0,1
C00195,2025-02-13 13:00:00,A016,Soporte_Digital,Outbound,52,267,319,0,1
C00196,2025-03-12 13:00:00,A021,Banca_Personal,Outbound,13,373,386,1,1
C00197,2025-03-28 21:00:00,A019,Soporte_Digital,Inbound,48,337,385,0,1
C00198,2025-01-24 10:00:00,A016,Créditos,Inbound,18,293,311,0,1
C00199,2025-03-16 23:00:00,A009,Tarjetas,Inbound,29,337,366,0,0
C00200,2025-03-28 10:00:00,A013,Banca_Personal,Inbound,30,404,434,0,1
C00201,2025-01-10 09:00:00,A005,Tarjetas,Inbound,20,230,250,0,1
C00202,2025-02-03 05:00:00,A022,Soporte_Digital,Inbound,20,261,281,0,1
C00203,2025-02-09 23:00:00,A019,Banca_Personal,Inbound,63,416,479,1,1
C00204,2025-03-04 16:00:00,A010,Soporte_Digital,Inbound,25,254,279,1,0
C00205,2025-01-19 20:00:00,A007,Banca_Personal,Outbound,18,339,357,0,1
C00206,2025-02-03 23:00:00,A009,Créditos,Inbound,91,371,462,0,1
C00207,2025-01-28 10:00:00,A025,Créditos,Inbound,96,299,395,0,1
C00208,2025-01-23 18:00:00,A014,Tarjetas,Inbound,124,341,465,1,0
C00209,2025-02-20 15:00:00,A015,Soporte_Digital,Outbound,6,282,288,0,1
C00210,2025-01-01 16:00:00,A013,Soporte_Digital,Outbound,2,408,410,0,1
C00211,2025-02-21 19:00:00,A010,Banca_Personal,Inbound,29,273,302,0,1
C00212,2025-02-14 13:00:00,A014,Créditos,Outbound,66,242,308,0,0
C00213,2025-03-15 16:00:00,A021,Tarjetas,Inbound,24,353,377,0,1
C00214,2025-02-14 04:00:00,A023,Créditos,Inbound,59,342,401,0,1
C00215,2025-01-13 13:00:00,A012,Soporte_Digital,Inbound,62,308,370,0,0
C00216,2025-01-08 12:00:00,A019,Tarjetas,Inbound,13,301,314,0,1
C00217,2025-01-26 06:00:00,A006,Créditos,Inbound,20,270,290,0,1
C00218,2025-01-30 03:00:00,A012,Créditos,Inbound,4,255,259,0,1
C00219,2025-02-11 08:00:00,A024,Banca_Personal,Inbound,8,263,271,0,1
C00220,2025-02-17 11:00:00,A013,Banca_Personal,Inbound,11,318,329,0,1
C00221,2025-01-08 22:00:00,A008,Soporte_Digital,Inbound,6,287,293,0,1
C00222,2025-02-10 20:00:00,A016,Créditos,Inbound,29,210,239,0,0
C00223,2025-03-25 14:00:00,A002,Banca_Personal,Inbound,6,274,280,0,1
C00224,2025-02-19 08:00:00,A022,Créditos,Inbound,50,287,337,0,1
C00225,2025-01-06 07:00:00,A007,Tarjetas,Outbound,66,330,396,0,0
C00226,2025-03-28 01:00:00,A012,Créditos,Outbound,59,317,376,0,1
C00227,2025-03-17 16:00:00,A007,Créditos,Inbound,38,405,443,0,0
C00228,2025-03-15 06:00:00,A019,Soporte_Digital,Inbound,0,241,241,0,1
C00229,2025-01-24 17:00:00,A014,Tarjetas,Inbound,45,333,378,0,1
C00230,2025-02-26 02:00:00,A009,Tarjetas,Outbound,48,338,386,0,1
C00231,2025-03-20 23:00:00,A018,Banca_Personal,Inbound,10,316,326,0,0
C00232,2025-01-27 01:00:00,A011,Tarjetas,Outbound,40,282,322,0,0
C00233,2025-03-12 06:00:00,A016,Soporte_Digital,Inbound,32,258,290,0,1
C00234,2025-01-07 10:00:00,A019,Banca_Personal,Outbound,18,297,315,0,1
C00235,2025-02-28 17:00:00,A011,Créditos,Inbound,32,192,224,0,1
C00236,2025-02-02 16:00:00,A018,Tarjetas,Outbound,59,244,303,0,1
C00237,2025-01-11 05:00:00,A011,Créditos,Inbound,14,241,255,0,1
C00238,2025-03-04 12:00:00,A025,Banca_Personal,Outbound,13,330,343,0,1
C00239,2025-03-13 01:00:00,A004,Tarjetas,Inbound,31,337,368,1,1
C00240,2025-01-23 09:00:00,A018,Banca_Personal,Inbound,18,235,253,0,1
C00241,2025-03-20 18:00:00,A019,Banca_Personal,Outbound,8,221,229,0,0
C00242,2025-03-18 17:00:00,A013,Tarjetas,Inbound,49,212,261,0,1
C00243,2025-02-08 08:00:00,A004,Tarjetas,Inbound,32,358,390,0,0
C00244,2025-01-22 20:00:00,A010,Banca_Personal,Inbound,2,354,356,0,0
C00245,2025-03-05 17:00:00,A022,Soporte_Digital,Inbound,43,338,381,0,1
C00246,2025-01-02 11:00:00,A005,Tarjetas,Outbound,40,390,430,0,1
C00247,2025-01-29 12:00:00,A003,Banca_Personal,Inbound,29,406,435,0,0
C00248,2025-01-01 19:00:00,A016,Créditos,Inbound,20,240,260,0,0
C00249,2025-01-17 15:00:00,A008,Créditos,Outbound,18,276,294,0,1
C00250,2025-02-10 11:00:00,A024,Tarjetas,Inbound,38,346,384,0,1
C00251,2025-03-21 10:00:00,A007,Tarjetas,Outbound,7,134,141,0,1
C00252,2025-02-18 14:00:00,A019,Créditos,Outbound,34,284,318,0,0
C00253,2025-02-16 11:00:00,A014,Banca_Personal,Inbound,39,357,396,0,1
C00254,2025-02-04 17:00:00,A015,Banca_Personal,Inbound,48,279,327,0,0
C00255,2025-03-17 23:00:00,A017,Banca_Personal,Outbound,13,343,356,0,0
C00256,2025-03-24 14:00:00,A021,Soporte_Digital,Outbound,16,179,195,0,1
C00257,2025-02-05 13:00:00,A001,Tarjetas,Outbound,37,317,354,0,1
C00258,2025-01-03 02:00:00,A006,Soporte_Digital,Inbound,13,272,285,0,0
C00259,2025-01-24 22:00:00,A023,Soporte_Digital,Inbound,7,286,293,0,0
C00260,2025-02-17 20:00:00,A015,Soporte_Digital,Inbound,21,243,264,0,1
C00261,2025-03-13 11:00:00,A012,Soporte_Digital,Inbound,78,395,473,1,1
C00262,2025-01-29 09:00:00,A021,Banca_Personal,Inbound,26,304,330,0,1
C00263,2025-02-04 21:00:00,A020,Tarjetas,Inbound,3,308,311,0,1
C00264,2025-02-14 21:00:00,A002,Tarjetas,Inbound,29,423,452,0,1
C00265,2025-03-08 11:00:00,A005,Soporte_Digital,Inbound,20,244,264,0,1
C00266,2025-01-01 04:00:00,A009,Tarjetas,Outbound,9,308,317,0,1
C00267,2025-02-16 22:00:00,A020,Créditos,Outbound,16,259,275,0,0
C00268,2025-02-20 19:00:00,A014,Banca_Personal,Inbound,66,256,322,0,1
C00269,2025-02-02 05:00:00,A018,Tarjetas,Inbound,10,318,328,0,1
C00270,2025-02-06 12:00:00,A022,Banca_Personal,Inbound,71,283,354,0,1
C00271,2025-02-11 07:00:00,A008,Créditos,Inbound,24,418,442,0,1
C00272,2025-01-02 22:00:00,A002,Banca_Personal,Inbound,18,406,424,0,1
C00273,2025-01-12 04:00:00,A009,Créditos,Inbound,19,290,309,0,0
C00274,2025-01-16 09:00:00,A007,Soporte_Digital,Inbound,20,207,227,0,0
C00275,2025-01-27 11:00:00,A018,Tarjetas,Inbound,69,282,351,0,1
C00276,2025-02-17 01:00:00,A016,Soporte_Digital,Inbound,2,362,364,0,1
C00277,2025-03-12 13:00:00,A021,Tarjetas,Inbound,18,246,264,0,1
C00278,2025-03-12 02:00:00,A005,Soporte_Digital,Inbound,20,396,416,0,1
C00279,2025-01-28 08:00:00,A023,Créditos,Inbound,39,334,373,0,1
C00280,2025-01-05 23:00:00,A015,Tarjetas,Inbound,23,229,252,0,1
C00281,2025-02-04 14:00:00,A005,Soporte_Digital,Inbound,25,260,285,0,1
C00282,2025-03-17 10:00:00,A011,Banca_Personal,Inbound,74,268,342,1,1
C00283,2025-02-15 01:00:00,A022,Banca_Personal,Outbound,26,251,277,0,1
C00284,2025-03-24 06:00:00,A014,Soporte_Digital,Inbound,17,231,248,0,1
C00285,2025-02-27 01:00:00,A025,Créditos,Inbound,25,265,290,0,0
C00286,2025-01-31 20:00:00,A019,Soporte_Digital,Outbound,26,277,303,0,1
C00287,2025-01-05 20:00:00,A003,Banca_Personal,Inbound,7,377,384,0,0
C00288,2025-03-19 05:00:00,A024,Tarjetas,Inbound,52,326,378,1,1
C00289,2025-02-17 22:00:00,A010,Tarjetas,Inbound,33,329,362,0,1
C00290,2025-03-22 11:00:00,A006,Soporte_Digital,Inbound,11,320,331,0,1
C00291,2025-02-12 04:00:00,A003,Tarjetas,Inbound,32,252,284,0,0
C00292,2025-03-11 08:00:00,A002,Banca_Personal,Inbound,5,368,373,0,1
C00293,2025-02-15 01:00:00,A013,Tarjetas,Outbound,35,273,308,0,1
C00294,2025-01-27 09:00:00,A018,Soporte_Digital,Inbound,41,279,320,0,1
C00295,2025-01-22 08:00:00,A002,Soporte_Digital,Outbound,87,322,409,1,0
C00296,2025-02-16 15:00:00,A015,Soporte_Digital,Outbound,11,449,460,0,1
C00297,2025-02-17 13:00:00,A005,Banca_Personal,Outbound,26,266,292,0,0
C00298,2025-01-24 07:00:00,A015,Créditos,Outbound,22,202,224,0,1
C00299,2025-01-21 07:00:00,A021,Tarjetas,Inbound,14,317,331,0,1
C00300,2025-02-07 08:00:00,A017,Soporte_Digital,Inbound,11,341,352,0,0
C00301,2025-02-20 12:00:00,A002,Créditos,Inbound,21,273,294,0,1
C00302,2025-01-30 07:00:00,A018,Soporte_Digital,Outbound,27,264,291,0,1
C00303,2025-03-03 06:00:00,A015,Soporte_Digital,Inbound,16,223,239,0,1
C00304,2025-01-25 04:00:00,A020,Banca_Personal,Inbound,32,320,352,0,1
C00305,2025-01-07 09:00:00,A023,Banca_Personal,Outbound,24,416,440,0,1
C00306,2025-03-11 23:00:00,A003,Créditos,Inbound,10,402,412,0,0
C00307,2025-02-11 12:00:00,A005,Soporte_Digital,Inbound,44,318,362,0,0
C00308,2025-02-21 19:00:00,A011,Tarjetas,Inbound,42,275,317,0,0
C00309,2025-02-15 12:00:00,A009,Tarjetas,Inbound,21,322,343,0,0
C00310,2025-02-12 00:00:00,A005,Tarjetas,Inbound,1,280,281,0,0
C00311,2025-03-15 21:00:00,A025,Créditos,Inbound,5,261,266,0,0
C00312,2025-02-09 21:00:00,A001,Banca_Personal,Outbound,54,309,363,0,0
C00313,2025-01-19 20:00:00,A025,Créditos,Inbound,75,376,451,1,1
C00314,2025-02-21 03:00:00,A014,Banca_Personal,Inbound,50,288,338,0,0
C00315,2025-01-23 22:00:00,A005,Tarjetas,Inbound,13,287,300,0,1
C00316,2025-03-10 03:00:00,A008,Tarjetas,Inbound,42,284,326,0,1
C00317,2025-02-24 16:00:00,A021,Banca_Personal,Inbound,39,347,386,0,1
C00318,2025-03-15 05:00:00,A014,Tarjetas,Inbound,40,351,391,0,0
C00319,2025-01-15 20:00:00,A016,Créditos,Inbound,23,235,258,0,0
C00320,2025-03-28 06:00:00,A006,Banca_Personal,Inbound,26,289,315,0,0
C00321,2025-03-16 09:00:00,A008,Tarjetas,Inbound,6,366,372,0,1
C00322,2025-03-16 05:00:00,A002,Soporte_Digital,Inbound,105,279,384,0,1
C00323,2025-03-09 23:00:00,A019,Tarjetas,Inbound,5,383,388,0,1
C00324,2025-02-12 07:00:00,A009,Soporte_Digital,Inbound,16,341,357,0,1
C00325,2025-02-26 04:00:00,A005,Tarjetas,Inbound,94,405,499,0,1
C00326,2025-01-22 11:00:00,A005,Soporte_Digital,Outbound,19,281,300,0,1
C00327,2025-01-14 23:00:00,A025,Tarjetas,Inbound,21,342,363,0,1
