Encuesta_ID,Call_ID,Fecha_Encuesta,Score_NPS,Tipo_Cliente
NPS00056,C02992,2025-01-11 13:00:00,9,Premium
NPS00057,C11596,2025-01-15 02:00:00,9,Recurrente
NPS00058,C10582,2025-03-09 08:00:00,9,Nuevo
NPS00059,C14868,2025-01-11 02:00:00,9,Premium
NPS00060,C14425,2025-01-17 12:00:00,7,Premium
NPS00061,C03025,2025-03-21 07:00:00,6,Recurrente
NPS00062,C00252,2025-02-18 14:00:00,9,Nuevo
NPS00063,C12147,2025-02-17 11:00:00,9,Nuevo
NPS00064,C11439,2025-01-02 06:00:00,10,Recurrente
NPS00065,C07093,2025-02-06 13:00:00,6,Recurrente
NPS00066,C00933,2025-01-04 02:00:00,8,Nuevo
NPS00067,C07218,2025-03-13 21:00:00,0,Recurrente
NPS00068,C03685,2025-02-01 21:00:00,8,Recurrente
NPS00069,C08369,2025-03-07 08:00:00,8,Premium
NPS00070,C09479,2025-02-10 12:00:00,2,Recurrente
NPS00071,C11725,2025-02-02 17:00:00,9,Nuevo
NPS00072,C07418,2025-03-07 01:00:00,8,Nuevo
NPS00073,C10505,2025-01-10 02:00:00,9,Recurrente
NPS00074,C10516,2025-03-27 15:00:00,5,Premium
NPS00075,C13510,2025-01-31 21:00:00,9,Premium
NPS00076,C07173,2025-01-05 09:00:00,9,Recurrente
NPS00077,C03329,2025-02-16 22:00:00,10,Premium
NPS00078,C05024,2025-03-13 01:00:00,9,Nuevo
NPS00079,C02215,2025-02-15 09:00:00,6,Nuevo
NPS00080,C02217,2025-02-08 23:00:00,8,Premium
NPS00081,C14796,2025-03-01 04:00:00,7,Nuevo
NPS00082,C02860,2025-03-25 09:00:00,8,Premium
NPS00083,C04025,2025-01-06 04:00:00,9,Nuevo
NPS00084,C02761,2025-03-25 13:00:00,8,Recurrente
NPS00085,C03291,2025-01-27 09:00:00,8,Premium
NPS00086,C10044,2025-02-15 05:00:00,7,Premium
NPS00087,C02627,2025-01-15 21:00:00,10,Premium
NPS00088,C04610,2025-01-29 12:00:00,10,Premium
NPS00089,C13284,2025-02-17 18:00:00,8,Recurrente
NPS00090,C12473,2025-01-10 12:00:00,8,Recurrente
NPS00091,C11740,2025-01-18 03:00:00,9,Nuevo
NPS00092,C06662,2025-03-23 14:00:00,10,Nuevo
NPS00093,C13940,2025-03-18 21:00:00,7,Nuevo
NPS00094,C07360,2025-01-13 06:00:00,9,Nuevo
NPS00095,C03205,2025-01-26 02:00:00,8,Nuevo
NPS00096,C11753,2025-02-08 23:00:00,6,Nuevo
NPS00097,C06127,2025-01-06 12:00:00,8,Premium
NPS00098,C14630,2025-02-20 20:00:00,9,Premium
NPS00099,C02679,2025-03-19 07:00:00,2,Nuevo
NPS00100,C03709,2025-02-06 22:00:00,8,Nuevo
NPS00101,C09988,2025-01-14 01:00:00,10,Recurrente
NPS00102,C02806,2025-03-18 23:00:00,6,Recurrente
NPS00103,C01454,2025-01-12 17:00:00,1,Nuevo
NPS00104,C14422,2025-03-02 09:00:00,4,Recurrente
NPS00105,C10000,2025-03-06 10:00:00,8,Recurrente
NPS00106,C02320,2025-03-07 13:00:00,2,Nuevo
NPS00107,C13883,2025-03-24 01:00:00,9,Premium
NPS00108,C12609,2025-02-09 05:00:00,10,Premium
NPS00109,C07334,2025-02-02 12:00:00,10,Nuevo
NPS00110,C03652,2025-03-20 09:00:00,7,Premium
NPS00111,C02289,2025-02-23 06:00:00,9,Recurrente
NPS00112,C03624,2025-01-23 01:00:00,8,Nuevo
NPS00113,C13619,2025-02-28 07:00:00,7,Recurrente
NPS00114,C04879,2025-02-05 21:00:00,8,Premium
NPS00115,C01714,2025-03-25 09:00:00,8,Recurrente
NPS00116,C14506,2025-03-23 11:00:00,7,Premium
NPS00117,C03590,2025-03-22 10:00:00,9,Premium
NPS00118,C09467,2025-03-20 05:00:00,7,Nuevo
NPS00119,C05156,2025-02-03 23:00:00,9,Recurrente
NPS00120,C12595,2025-03-07 12:00:00,2,Recurrente
NPS00121,C13674,2025-01-08 22:00:00,9,Recurrente
NPS00122,C03670,2025-03-19 05:00:00,9,Recurrente
NPS00123,C14325,2025-03-24 11:00:00,7,Recurrente
NPS00124,C13525,2025-02-10 21:00:00,9,Recurrente
NPS00125,C08385,2025-03-19 13:00:00,7,Recurrente
NPS00126,C14211,2025-02-07 09:00:00,6,Nuevo
NPS00127,C04388,2025-03-07 22:00:00,7,Premium
NPS00128,C09124,2025-03-24 18:00:00,8,Nuevo
NPS00129,C07895,2025-01-29 07:00:00,9,Premium
NPS00130,C01490,2025-01-13 14:00:00,7,Recurrente
NPS00131,C01607,2025-02-22 01:00:00,8,Recurrente
NPS00132,C08595,2025-01-25 06:00:00,0,Premium
NPS00133,C08529,2025-01-20 15:00:00,6,Premium
NPS00134,C01403,2025-02-09 03:00:00,8,Recurrente
NPS00135,C09388,2025-01-21 16:00:00,9,Premium
NPS00136,C03520,2025-01-17 21:00:00,8,Nuevo
NPS00137,C03298,2025-01-07 02:00:00,9,Premium
NPS00138,C01007,2025-03-14 22:00:00,9,Recurrente
NPS00139,C02792,2025-02-15 02:00:00,10,Recurrente
NPS00140,C02705,2025-02-03 00:00:00,10,Recurrente
NPS00141,C05614,2025-01-29 15:00:00,8,Premium
NPS00142,C14031,2025-03-18 01:00:00,10,Premium
NPS00143,C05684,2025-02-01 05:00:00,9,Recurrente
NPS00144,C12288,2025-03-13 12:00:00,3,Premium
NPS00145,C05401,2025-02-07 09:00:00,8,Nuevo
NPS00146,C02358,2025-02-25 05:00:00,8,Premium
NPS00147,C14681,2025-03-20 15:00:00,8,Nuevo
NPS00148,C00291,2025-02-12 04:00:00,9,Premium
NPS00149,C12535,2025-01-28 20:00:00,9,Recurrente
NPS00150,C05909,2025-02-08 01:00:00,7,Premium
NPS00151,C13819,2025-03-22 13:00:00,9,Nuevo
NPS00152,C06595,2025-02-06 09:00:00,9,Nuevo
NPS00153,C00089,2025-02-10 12:00:00,10,Premium
NPS00154,C12999,2025-02-25 02:00:00,10,Premium
NPS00155,C02233,2025-02-25 16:00:00,10,Nuevo
NPS00156,C08274,2025-01-27 18:00:00,8,Recurrente
NPS00157,C09323,2025-01-24 22:00:00,9,Premium
NPS00158,C07965,2025-02-19 04:00:00,10,Premium
NPS00159,C09038,2025-01-02 01:00:00,8,Premium
NPS00160,C11409,2025-03-15 08:00:00,9,Recurrente
NPS00161,C08392,2025-02-20 03:00:00,7,Nuevo
NPS00162,C11750,2025-01-08 07:00:00,10,Premium
NPS00163,C01057,2025-03-21 18:00:00,9,Premium
NPS00164,C00904,2025-02-01 01:00:00,8,Nuevo
NPS00165,C14221,2025-03-25 10:00:00,10,Recurrente
NPS00166,C13627,2025-03-26 13:00:00,9,Nuevo
NPS00167,C02040,2025-01-26 17:00:00,8,Recurrente
NPS00168,C01612,2025-03-06 10:00:00,9,Recurrente
NPS00169,C14520,2025-01-18 07:00:00,9,Premium
NPS00170,C00737,2025-03-19 15:00:00,7,Premium
NPS00171,C05964,2025-01-04 02:00:00,9,Nuevo
NPS00172,C11876,2025-02-19 02:00:00,8,Recurrente
NPS00173,C07309,2025-03-01 07:00:00,9,Recurrente
NPS00174,C09053,2025-02-07 18:00:00,9,Recurrente
NPS00175,C06178,2025-02-13 08:00:00,5,Nuevo
NPS00176,C13556,2025-01-21 05:00:00,9,Premium
NPS00177,C02865,2025-02-03 04:00:00,6,Premium
NPS00178,C10057,2025-01-08 04:00:00,8,Recurrente
NPS00179,C01419,2025-03-30 01:00:00,8,Premium
NPS00180,C05915,2025-03-07 22:00:00,9,Nuevo
NPS00181,C04149,2025-02-20 12:00:00,9,Recurrente
NPS00182,C13110,2025-02-01 18:00:00,5,Recurrente
NPS00183,C13686,2025-02-05 15:00:00,9,Recurrente
NPS00184,C01011,2025-02-16 08:00:00,9,Recurrente
NPS00185,C08635,2025-03-14 18:00:00,8,Premium
NPS00186,C07589,2025-03-08 00:00:00,7,Nuevo
NPS00187,C04190,2025-02-03 15:00:00,9,Nuevo
NPS00188,C14954,2025-01-30 19:00:00,8,Premium
NPS00189,C10529,2025-03-18 22:00:00,6,Recurrente
NPS00190,C09825,2025-03-04 12:00:00,9,Recurrente
NPS00191,C05146,2025-01-12 13:00:00,6,Recurrente
NPS00192,C08938,2025-01-11 15:00:00,6,Nuevo
NPS00193,C09616,2025-01-15 18:00:00,8,Recurrente
NPS00194,C08701,2025-01-05 11:00:00,7,Recurrente
NPS00195,C03801,2025-02-23 01:00:00,10,Premium
NPS00196,C10382,2025-03-25 12:00:00,10,Premium
NPS00197,C03746,2025-03-14 20:00:00,8,Nuevo
NPS00198,C09074,2025-01-21 00:00:00,0,Nuevo
NPS00199,C11362,2025-01-17 01:00:00,9,Recurrente
NPS00200,C08049,2025-02-03 17:00:00,9,Recurrente
NPS00201,C01386,2025-01-26 07:00:00,8,Premium
NPS00202,C10183,2025-02-28 18:00:00,10,Nuevo
NPS00203,C04873,2025-02-05 07:00:00,6,Recurrente
NPS00204,C00736,2025-03-31 00:00:00,6,Premium
NPS00205,C05713,2025-03-02 09:00:00,7,Recurrente
NPS00206,C05423,2025-03-25 06:00:00,9,Recurrente
NPS00207,C04013,2025-02-02 10:00:00,9,Recurrente
NPS00208,C02859,2025-02-06 21:00:00,8,Recurrente
NPS00209,C09897,2025-02-23 17:00:00,10,Nuevo
NPS00210,C04537,2025-03-14 07:00:00,8,Nuevo
NPS00211,C04581,2025-01-02 10:00:00,8,Nuevo
NPS00212,C07656,2025-03-09 12:00:00,10,Premium
NPS00213,C05999,2025-02-25 03:00:00,8,Nuevo
NPS00214,C00885,2025-01-19 19:00:00,10,Recurrente
NPS00215,C09027,2025-01-08 18:00:00,9,Recurrente
NPS00216,C03234,2025-02-04 06:00:00,9,Recurrente
NPS00217,C05602,2025-01-05 22:00:00,7,Premium
NPS00218,C02418,2025-03-25 04:00:00,9,Nuevo
NPS00219,C05359,2025-01-23 16:00:00,8,Recurrente
NPS00220,C11010,2025-02-21 02:00:00,9,Recurrente
NPS00221,C04949,2025-03-07 06:00:00,9,Recurrente
NPS00222,C05934,2025-03-06 01:00:00,9,Nuevo
NPS00223,C02920,2025-03-15 20:00:00,7,Premium
NPS00224,C10839,2025-01-12 22:00:00,7,Nuevo
NPS00225,C05599,2025-03-27 02:00:00,8,Recurrente
NPS00226,C03699,2025-01-05 12:00:00,8,Premium
NPS00227,C12168,2025-01-18 17:00:00,10,Premium
NPS00228,C09956,2025-02-15 01:00:00,9,Recurrente
NPS00229,C14085,2025-02-08 05:00:00,10,Nuevo
NPS00230,C06881,2025-01-14 01:00:00,10,Nuevo
NPS00231,C09159,2025-02-21 21:00:00,3,Nuevo
NPS00232,C10217,2025-01-15 18:00:00,8,Nuevo
NPS00233,C04402,2025-02-04 03:00:00,6,Premium
NPS00234,C10805,2025-01-03 00:00:00,4,Premium
NPS00235,C05932,2025-03-24 09:00:00,9,Nuevo
NPS00236,C01523,2025-02-08 04:00:00,10,Recurrente
NPS00237,C11307,2025-01-24 23:00:00,9,Recurrente
NPS00238,C02563,2025-03-09 02:00:00,10,Nuevo
NPS00239,C02129,2025-03-16 07:00:00,9,Premium
NPS00240,C01087,2025-03-18 04:00:00,6,Recurrente
NPS00241,C01963,2025-03-22 18:00:00,9,Nuevo
NPS00242,C05621,2025-01-14 12:00:00,7,Nuevo
NPS00243,C14991,2025-01-25 23:00:00,10,Recurrente
NPS00244,C12838,2025-01-16 14:00:00,8,Nuevo
NPS00245,C03066,2025-01-20 07:00:00,10,Nuevo
NPS00246,C12723,2025-02-11 14:00:00,6,Recurrente
NPS00247,C13287,2025-01-13 11:00:00,10,Premium
NPS00248,C03616,2025-02-26 22:00:00,9,Premium
NPS00249,C11374,2025-02-24 02:00:00,9,Nuevo
NPS00250,C12364,2025-01-11 19:00:00,6,Recurrente
NPS00251,C08291,2025-03-18 11:00:00,10,Premium
NPS00252,C09069,2025-01-31 18:00:00,10,Premium
NPS00253,C01347,2025-02-07 06:00:00,8,Premium
NPS00254,C08770,2025-02-04 11:00:00,10,Recurrente
NPS00255,C11194,2025-03-12 01:00:00,0,Premium
NPS00256,C03571,2025-03-22 18:00:00,9,Recurrente
NPS00257,C01122,2025-03-26 14:00:00,6,Nuevo
NPS00258,C01534,2025-03-23 03:00:00,7,Nuevo
NPS00259,C02944,2025-03-22 00:00:00,6,Nuevo
NPS00260,C11829,2025-01-02 07:00:00,8,Recurrente
NPS00261,C09361,2025-02-28 23:00:00,9,Recurrente
NPS00262,C07013,2025-03-18 18:00:00,8,Recurrente
NPS00263,C06889,2025-01-09 05:00:00,8,Recurrente
NPS00264,C11337,2025-01-06 01:00:00,8,Recurrente
NPS00265,C12465,2025-01-28 12:00:00,7,Recurrente
NPS00266,C14943,2025-02-08 18:00:00,6,Nuevo
NPS00267,C04246,2025-01-20 23:00:00,8,Nuevo
NPS00268,C01633,2025-01-15 16:00:00,7,Premium
NPS00269,C04063,2025-02-27 19:00:00,9,Recurrente
NPS00270,C09376,2025-02-02 15:00:00,8,Recurrente
NPS00271,C13010,2025-01-14 02:00:00,9,Nuevo
NPS00272,C11888,2025-02-13 00:00:00,9,Recurrente
NPS00273,C12460,2025-03-15 17:00:00,10,Nuevo
NPS00274,C05768,2025-01-11 18:00:00,8,Nuevo
NPS00275,C03015,2025-01-29 08:00:00,10,Premium
NPS00276,C10472,2025-01-13 06:00:00,9,Premium
NPS00277,C03729,2025-02-27 22:00:00,8,Nuevo
NPS00278,C13318,2025-03-07 16:00:00,9,Premium
NPS00279,C03853,2025-01-09 10:00:00,8,Recurrente
NPS00280,C06162,2025-03-07 04:00:00,9,Nuevo
NPS00281,C00100,2025-03-25 06:00:00,7,Recurrente
NPS00282,C12062,2025-01-18 12:00:00,8,Premium
NPS00283,C08123,2025-01-10 08:00:00,6,Premium
NPS00284,C14316,2025-01-20 15:00:00,6,Premium
NPS00285,C11821,2025-03-21 12:00:00,7,Nuevo
NPS00286,C08374,2025-02-14 02:00:00,4,Premium
NPS00287,C01036,2025-02-19 06:00:00,9,Premium
NPS00288,C14618,2025-02-03 13:00:00,9,Recurrente
NPS00289,C01745,2025-03-23 09:00:00,10,Premium
NPS00290,C04897,2025-03-07 07:00:00,9,Recurrente
NPS00291,C10476,2025-02-19 06:00:00,9,Premium
NPS00292,C04011,2025-02-20 16:00:00,9,Premium
NPS00293,C03920,2025-02-22 20:00:00,6,Nuevo
NPS00294,C01587,2025-02-24 04:00:00,7,Nuevo
NPS00295,C08901,2025-03-30 11:00:00,9,Recurrente
NPS00296,C04666,2025-03-15 20:00:00,10,Recurrente
NPS00297,C09605,2025-02-10 06:00:00,9,Recurrente
NPS00298,C06551,2025-03-18 00:00:00,10,Premium
NPS00299,C00287,2025-01-05 20:00:00,9,Nuevo
NPS00300,C13776,2025-02-24 21:00:00,7,Nuevo
NPS00301,C13464,2025-02-01 12:00:00,7,Premium
NPS00302,C14750,2025-03-10 00:00:00,8,Nuevo
NPS00303,C10950,2025-03-20 20:00:00,6,Recurrente
NPS00304,C13325,2025-03-10 20:00:00,9,Nuevo
NPS00305,C14439,2025-02-04 02:00:00,6,Premium
NPS00306,C01624,2025-01-30 03:00:00,8,Nuevo
NPS00307,C13414,2025-03-28 12:00:00,10,Recurrente
NPS00308,C00352,2025-02-04 09:00:00,9,Premium
NPS00309,C14354,2025-03-12 02:00:00,7,Nuevo
NPS00310,C03617,2025-02-11 06:00:00,10,Nuevo
NPS00311,C00567,2025-01-02 18:00:00,7,Premium
NPS00312,C00915,2025-02-14 20:00:00,5,Recurrente
NPS00313,C04550,2025-03-19 21:00:00,9,Premium
NPS00314,C05782,2025-03-10 00:00:00,8,Nuevo
NPS00315,C02958,2025-01-30 03:00:00,8,Premium
NPS00316,C09225,2025-03-21 23:00:00,10,Recurrente
NPS00317,C07835,2025-02-15 15:00:00,9,Premium
NPS00318,C11002,2025-03-24 07:00:00,10,Nuevo
NPS00319,C13959,2025-02-03 16:00:00,7,Premium
NPS00320,C07744,2025-02-05 12:00:00,8,Recurrente
NPS00321,C01580,2025-03-16 22:00:00,8,Nuevo
NPS00322,C13888,2025-02-20 23:00:00,9,Recurrente
NPS00323,C01399,2025-03-28 04:00:00,9,Recurrente
NPS00324,C01531,2025-02-12 18:00:00,7,Nuevo
NPS00325,C13881,2025-02-15 19:00:00,9,Nuevo
NPS00326,C07794,2025-01-06 11:00:00,8,Premium
NPS00327,C05351,2025-01-09 04:00:00,9,Premium
NPS00328,C01625,2025-03-08 19:00:00,0,Recurrente
NPS00329,C02526,2025-03-05 10:00:00,9,Nuevo
NPS00330,C02228,2025-01-19 09:00:00,6,Recurrente
NPS00331,C00488,2025-03-18 14:00:00,10,Recurrente
NPS00332,C03290,2025-01-21 18:00:00,8,Premium
NPS00333,C12693,2025-03-13 12:00:00,4,Recurrente
NPS00334,C00380,2025-03-17 19:00:00,6,Recurrente
NPS00335,C11276,2025-02-28 11:00:00,6,Recurrente
NPS00336,C02969,2025-03-18 14:00:00,0,Recurrente
NPS00337,C05041,2025-03-30 09:00:00,9,Nuevo
NPS00338,C14594,2025-01-03 16:00:00,9,Premium
NPS00339,C07306,2025-01-01 13:00:00,9,Recurrente
NPS00340,C00358,2025-03-20 20:00:00,8,Recurrente
NPS00341,C10158,2025-01-14 17:00:00,9,Recurrente
NPS00342,C08300,2025-01-11 18:00:00,10,Premium
NPS00343,C10876,2025-01-01 14:00:00,9,Premium
NPS00344,C00048,2025-03-14 23:00:00,9,Recurrente
NPS00345,C06313,2025-02-02 00:00:00,9,Nuevo
NPS00346,C11657,2025-01-17 20:00:00,6,Premium
NPS00347,C13568,2025-02-22 16:00:00,7,Nuevo
NPS00348,C00709,2025-03-10 04:00:00,7,Recurrente
NPS00349,C06299,2025-01-22 19:00:00,10,Recurrente
NPS00350,C03955,2025-02-17 23:00:00,8,Recurrente
NPS00351,C00837,2025-02-10 06:00:00,3,Nuevo
NPS00352,C11545,2025-02-17 08:00:00,9,Recurrente
NPS00353,C02343,2025-03-04 02:00:00,8,Nuevo
NPS00354,C05730,2025-03-20 21:00:00,8,Nuevo
NPS00355,C12131,2025-01-16 13:00:00,7,Recurrente
NPS00356,C12437,2025-01-19 10:00:00,8,Premium
NPS00357,C07542,2025-03-13 06:00:00,10,Premium
NPS00358,C07404,2025-01-15 16:00:00,9,Nuevo
NPS00359,C06339,2025-01-19 00:00:00,10,Premium
NPS00360,C04961,2025-02-04 03:00:00,8,Nuevo
NPS00361,C12361,2025-03-13 05:00:00,8,Premium
NPS00362,C13620,2025-01-12 13:00:00,7,Nuevo
NPS00363,C14571,2025-01-18 13:00:00,9,Premium
NPS00364,C10369,2025-01-24 16:00:00,7,Recurrente
NPS00365,C12588,2025-01-20 02:00:00,10,Nuevo
NPS00366,C04392,2025-03-20 00:00:00,9,Nuevo
NPS00367,C08133,2025-02-20 14:00:00,9,Premium
NPS00368,C13437,2025-02-11 21:00:00,7,Recurrente
NPS00369,C04901,2025-02-03 09:00:00,7,Nuevo
NPS00370,C08608,2025-03-14 04:00:00,6,Premium
NPS00371,C06082,2025-01-29 05:00:00,10,Recurrente
NPS00372,C07014,2025-01-25 05:00:00,10,Recurrente
NPS00373,C04059,2025-02-12 04:00:00,6,Nuevo
NPS00374,C06770,2025-03-19 18:00:00,7,Premium
NPS00375,C04922,2025-01-07 01:00:00,10,Nuevo
NPS00376,C10991,2025-03-01 14:00:00,6,Nuevo
NPS00377,C11493,2025-02-07 02:00:00,10,Recurrente
NPS00378,C08684,2025-02-23 05:00:00,9,Premium
NPS00379,C04316,2025-03-29 11:00:00,9,Premium
NPS00380,C04744,2025-03-31 00:00:00,10,Nuevo
NPS00381,C13930,2025-01-25 15:00:00,5,Recurrente
NPS00382,C03839,2025-02-06 10:00:00,10,Recurrente
NPS00383,C01255,2025-02-23 22:00:00,7,Premium
NPS00384,C04756,2025-02-10 18:00:00,9,Nuevo
NPS00385,C01476,2025-02-07 03:00:00,2,Nuevo
NPS00386,C14383,2025-02-09 06:00:00,10,Recurrente
NPS00387,C12315,2025-03-27 22:00:00,9,Nuevo
NPS00388,C13925,2025-01-31 23:00:00,6,Recurrente
NPS00389,C04867,2025-02-27 12:00:00,8,Nuevo
NPS00390,C11157,2025-02-01 06:00:00,9,Recurrente
NPS00391,C14343,2025-03-05 09:00:00,10,Recurrente
NPS00392,C11095,2025-02-26 12:00:00,6,Premium
NPS00393,C03939,2025-01-01 18:00:00,7,Premium
NPS00394,C10664,2025-03-26 15:00:00,9,Recurrente
NPS00395,C00305,2025-01-07 09:00:00,9,Premium
NPS00396,C02324,2025-01-06 11:00:00,8,Premium
NPS00397,C08994,2025-01-10 17:00:00,4,Recurrente
NPS00398,C10916,2025-01-14 23:00:00,8,Nuevo
NPS00399,C14413,2025-02-20 17:00:00,8,Nuevo
NPS00400,C06487,2025-01-09 20:00:00,6,Premium
NPS00401,C14473,2025-02-07 08:00:00,1,Nuevo
NPS00402,C13218,2025-03-26 11:00:00,6,Recurrente
NPS00403,C11793,2025-01-10 00:00:00,7,Recurrente
NPS00404,C06260,2025-02-12 15:00:00,10,Nuevo
NPS00405,C01740,2025-03-20 12:00:00,6,Premium
NPS00406,C13157,2025-03-06 07:00:00,8,Premium
NPS00407,C12670,2025-03-01 09:00:00,0,Recurrente
NPS00408,C06581,2025-01-30 11:00:00,10,Nuevo
NPS00409,C13994,2025-01-13 19:00:00,9,Premium
NPS00410,C03275,2025-01-21 14:00:00,0,Nuevo
NPS00411,C10846,2025-01-22 03:00:00,9,Nuevo
NPS00412,C02168,2025-03-21 14:00:00,7,Nuevo
NPS00413,C01394,2025-01-08 17:00:00,8,Premium
NPS00414,C05525,2025-01-13 18:00:00,9,Recurrente
NPS00415,C02544,2025-01-12 02:00:00,9,Recurrente
NPS00416,C12802,2025-01-05 18:00:00,6,Nuevo
NPS00417,C07521,2025-02-19 04:00:00,6,Premium
NPS00418,C06007,2025-01-02 22:00:00,7,Premium
NPS00419,C01271,2025-01-22 22:00:00,6,Recurrente
NPS00420,C02141,2025-01-01 07:00:00,9,Premium
NPS00421,C13550,2025-02-26 21:00:00,8,Nuevo
NPS00422,C06804,2025-03-05 20:00:00,6,Premium
NPS00423,C13562,2025-03-11 03:00:00,7,Premium
NPS00424,C06265,2025-01-17 16:00:00,6,Premium
NPS00425,C14712,2025-01-25 06:00:00,8,Nuevo
NPS00426,C06787,2025-03-08 12:00:00,8,Premium
NPS00427,C09943,2025-02-02 12:00:00,9,Premium
NPS00428,C06905,2025-03-20 23:00:00,3,Premium
NPS00429,C11710,2025-03-14 08:00:00,10,Premium
NPS00430,C11275,2025-01-08 23:00:00,10,Recurrente
NPS00431,C08935,2025-03-14 05:00:00,8,Nuevo
NPS00432,C14785,2025-01-31 21:00:00,9,Premium
NPS00433,C08599,2025-03-29 18:00:00,6,Nuevo
NPS00434,C14469,2025-01-18 23:00:00,9,Premium
NPS00435,C07945,2025-03-29 00:00:00,1,Recurrente
NPS00436,C02391,2025-02-17 04:00:00,9,Recurrente
NPS00437,C09484,2025-02-24 04:00:00,10,Recurrente
NPS00438,C07064,2025-02-10 08:00:00,6,Recurrente
NPS00439,C09560,2025-02-06 02:00:00,3,Premium
NPS00440,C13919,2025-03-16 02:00:00,8,Recurrente
NPS00441,C09932,2025-02-03 19:00:00,4,Premium
NPS00442,C07043,2025-02-23 17:00:00,8,Nuevo
NPS00443,C12521,2025-02-21 12:00:00,10,Recurrente
NPS00444,C12405,2025-03-10 05:00:00,9,Nuevo
NPS00445,C08216,2025-03-01 16:00:00,9,Nuevo
NPS00446,C06052,2025-02-08 10:00:00,9,Nuevo
NPS00447,C06978,2025-02-26 16:00:00,8,Recurrente
NPS00448,C13302,2025-01-11 13:00:00,10,Premium
NPS00449,C06271,2025-03-06 17:00:00,8,Nuevo
NPS00450,C07454,2025-02-20 12:00:00,9,Premium
NPS00451,C07272,2025-03-16 02:00:00,4,Premium
NPS00452,C12369,2025-01-12 20:00:00,8,Premium
NPS00453,C04124,2025-02-08 19:00:00,8,Nuevo
NPS00454,C01140,2025-02-10 23:00:00,8,Nuevo
NPS00455,C05293,2025-01-03 08:00:00,10,Recurrente
NPS00456,C07748,2025-01-02 16:00:00,8,Nuevo
NPS00457,C12715,2025-01-25 07:00:00,6,Recurrente
NPS00458,C10264,2025-03-16 19:00:00,10,Premium
